Bus Number,Bus Name,Base kV,Area,Zone,Voltage (pu),Potential Mnemonic,Category
2263,,22.0,SPPG        ,SPPG        ,1.0283,,Empty Name
2301,,22.0,SPPG        ,SPPG        ,1.0130,,Empty Name
2302,,22.0,SPPG        ,SPPG        ,1.0130,,Empty Name
2303,,22.0,SPPG        ,SPPG        ,1.0130,,Empty Name
3021,,22.0,SPPG        ,SPPG        ,1.0221,,Empty Name
3022,,22.0,SPPG        ,SPPG        ,1.0220,,Empty Name
3023,,22.0,SPPG        ,SPPG        ,1.0221,,Empty Name
3024,,22.0,SPPG        ,SPPG        ,1.0221,,Empty Name
3031,,22.0,SPPG        ,SPPG        ,1.0220,,Empty Name
3032,,22.0,SPPG        ,SPPG        ,1.0220,,Empty Name
3034,,22.0,SPPG        ,SPPG        ,1.0220,,Empty Name
3115,,22.0,SPPG        ,SPPG        ,1.0593,,Empty Name
3131,,22.0,SPPG        ,SPPG        ,1.0851,,Empty Name
3132,,22.0,SPPG        ,SPPG        ,0.9922,,Empty Name
3133,,22.0,SPPG        ,SPPG        ,1.0851,,Empty Name
3134,,22.0,SPPG        ,SPPG        ,1.0000,,Empty Name
3211,,22.0,SPPG        ,SPPG        ,0.9857,,Empty Name
3212,,22.0,SPPG        ,SPPG        ,0.9857,,Empty Name
3217,,22.0,SPPG        ,SPPG        ,0.9984,,Empty Name
3218,,22.0,SPPG        ,SPPG        ,0.9984,,Empty Name
6075,,22.0,SPPG        ,SPPG        ,0.9884,,Empty Name
7076,,22.0,SPPG        ,SPPG        ,1.0182,,Empty Name
7077,,22.0,SPPG        ,SPPG        ,1.0182,,Empty Name
11501,,22.0,SPPG        ,SPPG        ,0.9890,,Empty Name
11502,,22.0,SPPG        ,SPPG        ,0.9952,,Empty Name
19954,,22.0,SPPG        ,SPPG        ,0.9916,,Empty Name
19955,,22.0,SPPG        ,SPPG        ,0.9916,,Empty Name
97971,PCGPGT11,22.0,TNB         ,JOHOR       ,1.0116,PCGPGT,Generator Terminal
97972,PCGPGT12,22.0,TNB         ,JOHOR       ,1.0184,PCGPGT,Generator Terminal
97973,PCGPGT21,22.0,TNB         ,JOHOR       ,1.0188,PCGPGT,Generator Terminal
97974,PCGPGT22,22.0,TNB         ,JOHOR       ,1.0116,PCGPGT,Generator Terminal
19933,,23.0,SPPG        ,SPPG        ,1.0143,,Empty Name
19934,,23.0,SPPG        ,SPPG        ,1.0144,,Empty Name
19935,,23.0,SPPG        ,SPPG        ,1.0326,,Empty Name
19936,,23.0,SPPG        ,SPPG        ,1.0326,,Empty Name
19943,,23.0,SPPG        ,SPPG        ,1.0140,,Empty Name
19944,,23.0,SPPG        ,SPPG        ,1.0140,,Empty Name
19945,,23.0,SPPG        ,SPPG        ,1.0147,,Empty Name
19946,,23.0,SPPG        ,SPPG        ,1.0147,,Empty Name
96921,EMPP_GT1,24.0,TNB         ,MELAKA      ,1.0223,EMPP,Generator Terminal
96922,EMPP_GT2,24.0,TNB         ,MELAKA      ,1.0298,EMPP,Generator Terminal
96923,EMPP_GT3,24.0,TNB         ,MELAKA      ,1.0223,EMPP,Generator Terminal
97937,SPGP_GT1,24.0,TNB         ,JOHOR       ,1.0243,SPGP,Generator Terminal
97938,SPGP_GT2,24.0,TNB         ,JOHOR       ,1.0243,SPGP,Generator Terminal
561954,CGPP_KKTL,33.0,TNB         ,KEDAH       ,1.0282,CGPP,Potentially Linkable
62910,GRNPV33,33.0,TNB         ,P PINANG    ,1.0284,GRNPV,Potentially Linkable
61915,GRNPV33B,33.0,TNB         ,P PINANG    ,1.0290,GRNPV,Potentially Linkable
61913,GRNPV33R,33.0,TNB         ,P PINANG    ,1.0290,GRNPV,Potentially Linkable
96396,JSNPV33,33.0,TNB         ,MELAKA      ,1.0168,JSNPV,Potentially Linkable
96867,JSNPV33R,33.0,TNB         ,MELAKA      ,1.0168,JSNPV,Potentially Linkable
4051,,66.0,SPPG        ,SPPG        ,1.0082,,Empty Name
4052,,66.0,SPPG        ,SPPG        ,1.0082,,Empty Name
4053,,66.0,SPPG        ,SPPG        ,1.0082,,Empty Name
4054,,66.0,SPPG        ,SPPG        ,1.0112,,Empty Name
4081,,66.0,SPPG        ,SPPG        ,1.0167,,Empty Name
4082,,66.0,SPPG        ,SPPG        ,1.0168,,Empty Name
4083,,66.0,SPPG        ,SPPG        ,1.0167,,Empty Name
4084,,66.0,SPPG        ,SPPG        ,1.0168,,Empty Name
4101,,66.0,SPPG        ,SPPG        ,1.0021,,Empty Name
